7.6       5.        MILE
7.1       10.       MILE
4.4       15.       MILE
         7       301     100.    -199.  NIGHT BASE PERCENT
27.34     1000.     FEET
47.67     2000.     FEET
65.86     1.        MILE
39.0      2.        MILE
27.3      5.        MILE
20.0      10.       MILE
16.7      15.       MILE
         7       301     100.    -199.  NIGHT NEG PERCENT 
72.66     1000.     FEET
44.21     2000.     FEET
24.35     1.        MILE
29.5      2.        MILE
31.3      5.        MILE
25.0      10.       MILE
33.7      15.       MILE
         7       301     100.    -199.  NIGHT EX NEG PERCENT
0.0       1000.     FEET
8.12      2000.     FEET
7.15      1.        MILE
25.4      2.        MILE
33.8      5.        MILE
47.9      10.       MILE
45.2      15.       MILE
        21       601      100.      201.CHARGE SIZE CORRECTION
-29.8     .011
-26.1     .019
-22.5     .04 
-18.9     .078
-15.4     .15625
-12.0     .3125 
-8.8      .625
-5.6      1.25
-2.7      2.5 
0.0       5.
2.4       10. 
4.6       20. 
6.6       40. 
8.5       80. 
10.2      160.
11.8      320.
13.4      640.
14.9      1280. 
16.4      2560. 
17.6      5120. 
18.2      9999. 
