Slapton Wood Catchment                                                          
    51    71     20.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00    114.50    114.44    114.36
    114.21    113.24    111.73    110.29    108.82    107.15    105.52    103.98
    102.56    100.95     99.23     97.63     95.33     92.23     86.06     77.41
     69.82     60.96     51.99     42.86     34.18     30.52     30.28     31.39
     33.66     34.71   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
   9999.00   9999.00   9999.00   9999.00    114.55    114.45    114.37    114.20
    113.21    111.51    109.69    108.09    106.90    105.42    103.50    101.78
    100.42     99.05     97.06     95.01     92.39     87.51     79.55     72.91
     65.55     55.56     46.67     38.21     31.64     30.50     32.10     37.14
     41.27     42.49   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
   9999.00    114.95    114.73    114.58    114.45    114.36    113.97    113.00
    111.42    109.57    107.79    106.36    104.96    103.29    101.30     99.50
     97.67     95.78     93.75     91.50     86.49     79.16     73.73     68.39
     60.12     50.15     41.40     34.44     30.65     32.00     37.54     44.53
     48.98     51.72   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
    115.44    115.11    114.71    114.45    114.35    114.00    112.79    111.20
    109.47    107.75    106.32    104.72    103.01    101.14     98.83     96.49
     94.03     91.66     88.59     84.72     78.41     73.37     69.32     63.51
     54.63     45.36     37.59     32.04     31.54     36.58     43.65     50.37
     55.56     59.56   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00    115.80
    115.46    115.05    114.63    114.39    114.25    113.13    111.29    109.40
    107.70    106.31    104.55    102.63    100.90     98.62     95.43     92.92
     90.05     86.16     82.23     77.93     73.27     69.23     65.21     58.64
     49.88     41.42     36.58     33.96     35.96     42.47     49.52     56.13
     61.22     64.20     66.23
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00    116.72    116.08
    115.50    114.90    114.49    114.34    113.71    111.78    109.68    107.76
    106.32    104.61    102.49    100.41     98.20     94.72     91.52     88.29
     84.67     80.40     76.30     72.05     68.12     64.50     59.84     52.07
     44.04     38.83     37.08     37.10     41.37     48.95     55.76     61.80
     66.27     68.93     70.74
   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00   9999.00
   9999.00   9999.00   9999.00   9999.00   9999.00    118.06    117.11    116.25
    115.49    114.71    114.26    113.79    112.35    110.23    108.09    106.40
