0.79375 0.4325
0.9125 0.51125
0.4875 0.24875
0.93125 0.17125
0.8125 0.19125
0.825 0.17625
0.775 0.18125
0.71875 0.18625
0.7625 0.17875
0.6875 0.18375
0.48125 0.19625
0.30625 0.2025
0.2875 0.15875
0.18125 0.17125
0.2 0.165
0.1 0.1625
0.0875 0.18
0.31875 0.065
0.28125 0.855
0.80625 0.49875
0.525 0.4175
0.24375 0.35375
0.38125 0.45
0.40625 0.48625
0.425 0.52875
0.5625 0.57625
0.6875 0.64875
0.70625 0.66
0.6625 0.6575
0.70625 0.68625
0.60625 0.6225
0.73125 0.70125
0.69375 0.705
0.63125 0.6625
0.5625 0.67
0.625 0.685
0.6375 0.69375
0.56875 0.70625
0.29375 0.585
0.11875 0.59375
0.08125 0.55875
0.0625 0.59125
0.025 0.5375
0.16875 0.83375
0.3625 0.8175
0.7 0.72625
0.6875 0.72625
0.75625 0.71125
0.41875 0.94125
0.25625 0.885
